impact	AT	BE	BG	CY	CZ	DE	DK	EE	ES	FI	FR	GR	HU	IE	IT	LT	LU	LV	MT	NL	PL	PT	RO	SE	SI	SK	GB	US	JP	CN	CA	KR	BR	IN	MX	RU	AU	CH	TR	TW	NO	ID	ZA	WA	WL	WE	WF	WM
Value Added	0.0294964839002	0.0287120005567	0.00471513597777	0.0144331616966	0.0111419182963	0.025802462105	0.0372007772476	0.0122268761383	0.0237221557601	0.0297626351264	0.0285425131143	0.0213178844708	0.00916958601477	0.0367491043529	0.0245839159373	0.00903477626805	0.0500504897848	0.0104325996608	0.014445625159	0.0301858409372	0.00788345780737	0.0169500862162	0.00627682805497	0.0317706064835	0.0163154904708	0.0110663869454	0.0328251825969	0.034975715277	0.0228204278399	0.00168824321026	0.0295434812431	0.0147126355353	0.00480344338806	0.000709638688119	0.00660202468628	0.00684289571429	0.0305705501408	0.0328370413912	0.0072775066291	0.0107644114307	0.0472239515903	0.00138515197408	0.00380110326147	0.00101799697729	0.00298239006049	0.00290597092833	0.000583123896625	0.00295147035754
Employment	0.000849477922158	0.00105688738421	0.000411400947568	0.00056069860429	0.000577966880582	0.000895422110935	0.00103230591101	0.000743343401934	0.000883820276278	0.000845490338813	0.000871071505216	0.000894359167545	0.000466948505973	0.00116925780637	0.000814055173445	0.00056169552627	0.00204344623103	0.000634953501222	0.000643630512027	0.00117186724878	0.000459014637687	0.000766181241753	0.000458775774917	0.000841333016918	0.000773302020008	0.000669435727908	0.00112999859332	0.000864639162382	0.0007892196392	0.000499441870329	0.000987510158028	0.000720317367824	0.000460263474325	0.000367140811934	0.00040778057181	0.000625849655337	0.00116887108716	0.000987613617056	0.000375571412482	0.000603388412983	0.00116015364283	0.000381846948871	0.000317196270423	0.0003473504958	0.000390645164104	0.000405262975435	0.000299050508958	0.000235282204267
Employment hour	1205.02178453	1115.09316737	699.297711362	913.587894047	948.058719495	1219.73090333	1485.18469241	1066.07660702	1157.62213462	1286.73404785	1030.74110656	1475.32261306	763.60078163	1404.29307993	1101.31568374	968.609374005	1959.14550873	1072.50867477	949.761046633	1324.37576495	815.378282134	1138.15029578	856.28088128	1257.95707422	1114.57269159	945.718026802	1743.99891861	1260.02525962	1354.12674358	1075.93369397	1377.7475474	1254.06431583	942.788006791	841.638361638	850.397354999	1019.66714035	1656.62101242	1437.85858192	777.736326748	802.447505753	1681.21758819	763.956227919	581.274800583	61.4508063268	52.3072083443	50.5618903467	10.1242005156	78.743310093
abiotic depletion (elements, ultimate ultimate reserves)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abiotic depletion (fossil fuels)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abiotic depletion (elements, reserve base)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abiotic depletion (elements, economic reserve)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Landuse increase of land competition	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
global warming (GWP100)	17477.7021328	18741.5608146	8181.2906578	14645.8751933	14239.0985313	16955.7994782	19762.269657	17751.5286597	13545.7182958	21817.657793	12528.7857927	20083.7582603	9046.17586872	22013.7360268	14180.0091407	9973.94632539	30579.5892945	9908.22898131	12259.5362387	18264.9680798	10850.7983773	10564.7995853	7162.79147247	14014.1684888	16050.6778108	12804.7013141	17603.0001663	25202.8838335	14284.3977109	5301.66432151	21690.5923809	15569.3766503	2944.84602104	1431.09161598	5478.1833624	11510.9795275	27197.9458058	15910.8693156	7107.95763736	12736.6235563	18669.4045577	1971.05473467	7352.17840587	1441.53337182	2934.29592127	5890.09894568	740.95951345	4834.13313466
global warming net (GWP100 min)	17679.705928	18931.2653368	8253.02897824	14964.0985049	14364.248006	17151.2779212	20061.8539333	17949.0838272	13697.4433324	22037.6012506	12671.7444552	20260.1956992	9138.63148826	22358.1035604	14299.4341463	10093.7611529	30784.1536738	10159.3382068	12406.6681687	18442.9151784	10996.0567087	10706.7524555	7243.60204567	14183.7263887	16188.6555531	12882.9049346	17827.1951938	25620.5341934	14452.0594861	5408.21248291	22070.2844176	15703.4887886	3052.77872716	1474.70672761	5591.36582835	11640.1751253	27605.7632897	16082.2337412	7213.97155044	12873.999706	19091.483169	2048.34328667	7530.06639912	1498.98976721	3002.41553549	5960.99182069	822.810187402	4922.83507054
