impact	AT	BE	BG	CY	CZ	DE	DK	EE	ES	FI	FR	GR	HU	IE	IT	LT	LU	LV	MT	NL	PL	PT	RO	SE	SI	SK	GB	US	JP	CN	CA	KR	BR	IN	MX	RU	AU	CH	TR	TW	NO	ID	ZA	WA	WL	WE	WF	WM
Value Added	244844.059601	305085.104315	36116.8288176	15343.8220338	115142.366381	2122674.94604	203169.73849	16404.4573622	1064625.32364	157406.243646	1827079.67579	238606.028543	92207.3396556	160113.311977	1459677.11353	30497.9533964	24023.8847433	23745.6400879	5908.98297129	494495.269738	300521.826353	179812.192861	135246.016943	290640.431007	32926.6502599	59728.8094554	2001897.8894	10535776.9286	2915783.18042	2224910.40315	972793.480872	715004.661745	912639.718118	822538.832615	749526.667667	972375.481	642467.624704	247956.341479	505761.334057	247129.357626	222384.813303	319932.440959	183430.912	864775.786649	810086.242405	243311.026366	480066.503559	811716.081278
Employment	7051.33614252	11230.1682784	3151.23416775	596.075882727	5972.80221864	73663.1284752	5637.87473001	997.323028759	39664.9215689	4471.56166469	55759.5274448	10010.3501992	4695.53144739	5094.37558358	48334.7611852	1896.069529	980.839886771	1445.21766413	263.277060944	19197.1730219	17497.8950368	8127.90728323	9885.18335761	7696.5918414	1560.61781922	3613.15750408	68914.8275816	260456.298504	100839.185215	658206.949279	32516.2575161	35005.9834415	87448.668285	425551.171193	46295.2545093	88933.2360234	24564.8778807	7457.58597319	26100.90355	13852.5911853	5463.34100759	88196.262007	15307.0298712	295069.931394	106108.277819	33931.8434125	246198.334615	64707.527336
Employment hour	10002630368.8	11848645468.6	5356455434.77	971230722.221	9797390496.66	100342836233	8111244116.15	1430325133.49	51952860110.4	6805176093.52	65980389297.1	16512936356.5	7678601467.9	6118408053.02	65390937002.3	3269655237.86	940376130.171	2441136994.64	388499756.125	21695521171.2	31082676726.8	12073879618	18450175401.3	11507907047	2249343669.49	5104340928.98	106360649906	379558929805	173017789623	1.41795687628e+12	45365805788.9	60945017620.8	179126870299	975539027192	96545457791.1	144894700643	34815381534.9	10857438381.5	54049962742.4	18422589837.1	7917110849.09	176453115152	28050741971.2	52201696632.7	14207849744.3	4233444084.16	8334917452.38	21656057270.6
abiotic depletion (elements, ultimate ultimate reserves)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abiotic depletion (fossil fuels)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abiotic depletion (elements, reserve base)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
abiotic depletion (elements, economic reserve)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Landuse increase of land competition	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
global warming (GWP100)	145078700132	199142202748	62666755654.1	15569956688.6	147149122479	1.39489210743e+12	107930410471	23816728960	607917546382	115387483123	801999802629	224792746357	90966354377.1	95912328920.9	841942140754	33668232747	14677988804.2	22552119984.3	5014763298.46	299211154533	413638510590	112074933208	154335758183	128202902639	32392226004.9	69111044887.4	1.07354799249e+12	7.59189511705e+12	1.82512820882e+12	6.98698388436e+12	714217349363	756640566449	559511838783	1.6587714944e+12	621937165582	1.63571019086e+12	571589309261	120144835774	493978270348	292407403605	87917082481.1	455260046789	354796146646	1.22456469264e+12	797022759853	493165986591	610007315700	1.32948772276e+12
global warming net (GWP100 min)	146755490810	201157946089	63216254258.5	15908258300	148442437173	1.41097340974e+12	109566571422	24081783196.6	614726805957	116550702486	811150954301	226767568795	91896067747	97412714503.6	849033034974	34072681835.5	14776178274.3	23123669692.4	5074947614.41	302126229806	419175839526	113580816810	156076973341	129754033906	32670681922.1	69533134695.9	1.08722089594e+12	7.71770443908e+12	1.84655047958e+12	7.12740210804e+12	726719665356	763158148151	580018726558	1.70932556312e+12	634786750455	1.6540688853e+12	580159960719	121438828601	501345867637	295561285251	89904715239.7	473111600670	363380537701	1.27337318679e+12	815525625406	499101702606	677392252393	1.35388261042e+12
